[31-May-2017 22:31:29 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:29 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:29 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:30 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:30 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:30 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:30 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:30 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:30 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:30 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:30 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:30 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:35 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:35 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:35 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:43 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
